NAME: chlorobenzaldehyde
COMMENT: Newly Identified DDT-Related Compounds Accumulating in Southern California Bottlenose Dolphins, Mackintosh et al., 2015
Num Peaks: 109
50 894;
51 479;
52 46;
53 16;
54 1;
56 4;
58 2;
59 3;
60 40;
61 103;
62 61;
63 42;
65 2;
72 36;
73 150;
74 452;
75 598;
76 345;
77 362;
78 21;
81 1;
83 1;
84 55;
85 80;
86 30;
87 23;
88 1;
89 3;
97 4;
101 1;
104 51;
105 4;
106 1;
108 3;
109 3;
110 9;
111 547;
112 113;
113 169;
114 30;
115 1;
124 1;
139 998;
140 717;
141 362;
142 206;
143 13;
174 1;
217 1;
219 1;
234 1;
246 1;
252 1;
260 1;
281 1;
286 1;
292 1;
294 1;
316 1;
318 1;
319 1;
327 1;
331 1;
335 1;
344 1;
346 1;
384 2;
417 1;
422 1;
428 2;
440 1;
449 1;
489 1;
559 1;
565 1;
577 1;
582 1;
662 1;
737 1;
742 1;
744 1;
752 1;
753 1;
754 1;
756 1;
758 1;
801 1;
823 2;
828 1;
836 1;
849 1;
860 2;
891 1;
895 1;
902 1;
903 1;
909 1;
914 1;
917 1;
926 1;
933 1;
944 1;
945 1;
949 1;
959 1;
969 1;
981 1;
985 1;
993 1;

NAME: unknown 4
COMMENT: Newly Identified DDT-Related Compounds Accumulating in Southern California Bottlenose Dolphins, Mackintosh et al., 2015
Num Peaks: 182
50 90;
51 23;
52 6;
53 2;
56 3;
59 7;
60 73;
61 13;
62 28;
63 23;
65 7;
66 3;
67 3;
70 2;
72 4;
73 11;
74 8;
75 9;
76 91;
77 16;
78 31;
82 342;
83 998;
84 231;
85 630;
86 40;
87 95;
94 2;
95 41;
96 3;
97 29;
99 14;
100 2;
101 3;
104 4;
106 2;
107 3;
110 56;
111 561;
112 185;
113 360;
114 89;
115 59;
116 12;
117 184;
118 8;
119 179;
120 12;
121 43;
122 2;
123 4;
130 13;
132 11;
134 5;
136 11;
138 5;
139 2;
146 4;
147 653;
148 16;
149 634;
150 18;
151 183;
152 5;
153 15;
158 1;
160 2;
162 1;
165 5;
167 6;
170 7;
171 7;
175 3;
176 1;
179 1;
182 1;
187 2;
192 2;
194 1;
205 2;
206 3;
207 5;
209 3;
210 2;
211 2;
218 2;
219 2;
225 2;
227 1;
240 1;
242 1;
243 2;
256 2;
259 2;
261 2;
263 1;
273 2;
284 1;
293 3;
295 4;
310 2;
316 1;
322 1;
324 2;
325 2;
330 1;
340 2;
344 2;
350 1;
353 3;
360 1;
392 2;
403 2;
409 1;
420 2;
