"PeakNumber";"Group";"CompoundName";"Isomer";"Class";"TechnicalMixture";"DetectedinPacificDolphin";"SpectrumFilename";"Identification";"Comment";"FragmentIdentification";"Formula";"RetentionTime1D";"RetentionTime2D";"TypicallyMonitored";"Instrument"
338;1;"chlorobenzaldehyde";"chlorobenzaldehyde 1";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";662.964;0.983;FALSE;"GCxGC-TOF, EI, 70 eV"
345;1;"chlorobenzaldehyde";"chlorobenzaldehyde 2";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";669.96;0.99;FALSE;"GCxGC-TOF, EI, 70 eV"
453;1;"chlorobenzaldehyde";"chlorobenzaldehyde 3";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";890.334;1.076;FALSE;"GCxGC-TOF, EI, 70 eV"
487;1;"chlorobenzaldehyde";"chlorobenzaldehyde 4";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";935.808;1.076;FALSE;"GCxGC-TOF, EI, 70 eV"
604;1;"chlorobenzaldehyde";"chlorobenzaldehyde 5";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";1086.22;0.766;FALSE;"GCxGC-TOF, EI, 70 eV"
605;1;"chlorobenzaldehyde";"chlorobenzaldehyde 6";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";1086.22;0.878;FALSE;"GCxGC-TOF, EI, 70 eV"
625;1;"chlorobenzaldehyde";"chlorobenzaldehyde 7";"other";"DDT 500PPM";FALSE;1;"Reference Database MS";"NIST I.D. 2-chlorobenzaldehyde. All have the same mass spectrum, but exceed the number of possible isomers.";"75 [M-CHClO]+; 111 [M-CO]+; 139 M+";"C7H5ClO";1110.71;0.898;FALSE;"GCxGC-TOF, EI, 70 eV"
446;2;"trichloroethenylbenzene";"trichloroethenylbenzene 1";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";872.844;0.99;FALSE;"GCxGC-TOF, EI, 70 eV"
465;2;"trichloroethenylbenzene";"trichloroethenylbenzene 2";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";907.824;0.997;FALSE;"GCxGC-TOF, EI, 70 eV"
472;2;"trichloroethenylbenzene";"trichloroethenylbenzene 3";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";918.318;1.003;FALSE;"GCxGC-TOF, EI, 70 eV"
577;2;"trichloroethenylbenzene";"trichloroethenylbenzene 4";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1054.74;0.845;FALSE;"GCxGC-TOF, EI, 70 eV"
613;2;"trichloroethenylbenzene";"trichloroethenylbenzene 5";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1093.22;0.858;FALSE;"GCxGC-TOF, EI, 70 eV"
971;2;"trichloroethenylbenzene";"trichloroethenylbenzene 6";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1436.02;0.713;FALSE;"GCxGC-TOF, EI, 70 eV"
1350;2;"trichloroethenylbenzene";"trichloroethenylbenzene 7";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1600.43;0.7;FALSE;"GCxGC-TOF, EI, 70 eV"
1354;2;"trichloroethenylbenzene";"trichloroethenylbenzene 8";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1600.43;1.696;FALSE;"GCxGC-TOF, EI, 70 eV"
1378;2;"trichloroethenylbenzene";"trichloroethenylbenzene 9";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1610.92;1.676;FALSE;"GCxGC-TOF, EI, 70 eV"
1384;2;"trichloroethenylbenzene";"trichloroethenylbenzene 10";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1614.42;0.713;FALSE;"GCxGC-TOF, EI, 70 eV"
1413;2;"trichloroethenylbenzene";"trichloroethenylbenzene 11";"other";"DDT 500PPM";FALSE;2;"Reference Database MS";"NIST I.D. trichloroethenylbenzene. All have the same mass spectrum, but exceed the number of possible isomers.";"136 [M-Cl2]+; 171 [M-Cl]+; 206 M+";"C8H5Cl3";1635.41;0.7;FALSE;"GCxGC-TOF, EI, 70 eV"
483;3;"trichloro-(chlorophenyl) ethane";"trichloro-(chlorophenyl) ethane 1";"other";"DDT 500PPM";FALSE;3;"Reference Database MS";"NIST I.D. 1,2,2-Trichloro-1-(4-chlorophenyl)ethene";"135 [M-Cl3]+; 170 [M-Cl2]+; 205 [M-Cl]+; 240 M+";"C8H8Cl4";928.812;1.01;FALSE;"GCxGC-TOF, EI, 70 eV"
522;3;"trichloro-(chlorophenyl) ethane";"trichloro-(chlorophenyl) ethane 2";"other";"DDT 500PPM";FALSE;3;"Reference Database MS";"NIST I.D. 1,2,2-Trichloro-1-(4-chlorophenyl)ethene";"135 [M-Cl3]+; 170 [M-Cl2]+; 205 [M-Cl]+; 240 M+";"C8H8Cl4";977.784;1.01;FALSE;"GCxGC-TOF, EI, 70 eV"
1439;3;"trichloro-(chlorophenyl) ethane";"trichloro-(chlorophenyl) ethane 3";"other";"DDT 500PPM";FALSE;3;"Reference Database MS";"NIST I.D. 1,2,2-Trichloro-1-(4-chlorophenyl)ethene";"135 [M-Cl3]+; 170 [M-Cl2]+; 205 [M-Cl]+; 240 M+";"C8H8Cl4";1652.9;1.676;FALSE;"GCxGC-TOF, EI, 70 eV"
1490;3;"trichloro-(chlorophenyl) ethane";"trichloro-(chlorophenyl) ethane 4";"other";"DDT 500PPM";FALSE;3;"Reference Database MS";"NIST I.D. 1,2,2-Trichloro-1-(4-chlorophenyl)ethene";"135 [M-Cl3]+; 170 [M-Cl2]+; 205 [M-Cl]+; 240 M+";"C8H8Cl4";1705.37;1.65;FALSE;"GCxGC-TOF, EI, 70 eV"
507;4;"trichloro-(propenyl) benzene";"trichloro-(propenyl) benzene";"other";"DDT 500PPM";FALSE;4;"Reference Database MS";"NIST I.D. Benzene, (3,3,3-trichloro-1-propenyl)-, (E)-";"150 [M-Cl2]+; 185 [M-Cl]+; 220 M+";"C9H7Cl3";960.294;1.003;FALSE;"GCxGC-TOF, EI, 70 eV"
508;5;"unknown 1";"unknown 1-1";"other";"DDT 500PPM";FALSE;5;NA;NA;NA;NA;960.294;1.069;FALSE;"GCxGC-TOF, EI, 70 eV"
517;5;"unknown 1";"unknown 1-2";"other";"DDT 500PPM";FALSE;5;NA;NA;NA;NA;970.788;1.056;FALSE;"GCxGC-TOF, EI, 70 eV"
523;5;"unknown 1";"unknown 1-3";"other";"DDT 500PPM";FALSE;5;NA;NA;NA;NA;977.784;1.056;FALSE;"GCxGC-TOF, EI, 70 eV"
560;6;"unknown 2";"unknown 2";"other";"DDT 500PPM";FALSE;6;NA;NA;NA;NA;1026.76;1.01;FALSE;"GCxGC-TOF, EI, 70 eV"
578;7;"pentachloroethylbenzene";"pentachloroethylbenzene 1";"other";"DDT 500PPM";FALSE;7;"Reference Database MS";"NIST I.D. 1-(Pentachloroethyl)benzene";"159 [M-CCl4]+; 171 [M-Cl3]+; 206 [M-Cl2]+; 241 [M-Cl]+; 276 M+";"C8H5Cl5";1054.74;1.063;FALSE;"GCxGC-TOF, EI, 70 eV"
615;7;"pentachloroethylbenzene";"pentachloroethylbenzene 2";"other";"DDT 500PPM";FALSE;7;"Reference Database MS";"NIST I.D. 1-(Pentachloroethyl)benzene";"159 [M-CCl4]+; 171 [M-Cl3]+; 206 [M-Cl2]+; 241 [M-Cl]+; 276 M+";"C8H5Cl5";1093.22;1.082;FALSE;"GCxGC-TOF, EI, 70 eV"
607;8;"unknown 3";"unknown 3-1";"other";"DDT 500PPM";FALSE;8;NA;NA;NA;NA;1086.22;1.129;FALSE;"GCxGC-TOF, EI, 70 eV"
619;8;"unknown 3";"unknown 3-2";"other";"DDT 500PPM";FALSE;8;NA;NA;NA;NA;1100.21;1.129;FALSE;"GCxGC-TOF, EI, 70 eV"
626;8;"unknown 3";"unknown 3-3";"other";"DDT 500PPM";FALSE;8;NA;NA;NA;NA;1110.71;1.122;FALSE;"GCxGC-TOF, EI, 70 eV"
664;9;"DDM";"DDM 1";"known degradation product ";"DDT 500PPM";TRUE;9;"Authentic MS";"NIST I.D. bis(p-chlorophenyl)-methane";"236 [M]+; 201 [M-Cl]+; 165 [M-HCl2]+ ";C13H10Cl2;1187.66;1.115;FALSE;"GCxGC-TOF, EI, 70 eV"
675;9;"DDM";"p,p'-DDM ";"known degradation product ";"DDT 500PPM";TRUE;9;"Authentic MS RT";"NIST I.D. bis(p-chlorophenyl)-methane";"236 [M]+; 201 [M-Cl]+; 165 [M-HCl2]+ ";C13H10Cl2;1208.65;1.109;FALSE;"GCxGC-TOF, EI, 70 eV"
682;10;"unknown 4";"unknown 4-1";"other";"DDT 500PPM";FALSE;10;NA;NA;NA;NA;1219.15;1.102;FALSE;"GCxGC-TOF, EI, 70 eV"
689;10;"unknown 4";"unknown 4-2";"other";"DDT 500PPM";FALSE;10;NA;NA;NA;NA;1229.64;1.049;FALSE;"GCxGC-TOF, EI, 70 eV"
711;10;"unknown 4";"unknown 4-3";"other";"DDT 500PPM";FALSE;10;NA;NA;NA;NA;1254.13;1.096;FALSE;"GCxGC-TOF, EI, 70 eV"
1277;10;"unknown 4";"unknown 4-4";"other";"DDT 500PPM";FALSE;10;NA;NA;NA;NA;1551.46;1.32;FALSE;"GCxGC-TOF, EI, 70 eV"
1362;10;"unknown 4";"unknown 4-5";"other";"DDT 500PPM";FALSE;10;NA;NA;NA;NA;1603.93;1.452;FALSE;"GCxGC-TOF, EI, 70 eV"
697;11;"DDNS";"DDNS";"known degradation product ";"DDT 500PPM";TRUE;11;"Reference Database MS";"NIST I.D. 1,1-bis(p-chlorophenyl)-ethane; also called DDEt.";"165 [M-CH3Cl2]+; 235 [M-CH3]+; 250 M+ ";"C14H12Cl2";1240.13;1.089;FALSE;"GCxGC-TOF, EI, 70 eV"
701;12;"DDNU";"p,p'-DDNU";"known degradation product ";"DDT 500PPM";TRUE;12;"Authentic MS RT";"";"178 [M-Cl2]+; 213 [M-Cl]+; 248 M+ ";"C14H10Cl2";1243.63;1.109;FALSE;"GCxGC-TOF, EI, 70 eV"
713;13;"DBP";"o,p'-DBP ";"known degradation product ";"DDT 500PPM";FALSE;13;"Authentic MS RT";"";"75 [M-C7H5Cl2O]+; 111 [M-C7H4ClO]+; 139 [M-C6H4Cl]+; 250 M+ ";"C13H8Cl2O";1254.13;1.181;FALSE;"GCxGC-TOF, EI, 70 eV"
736;13;"DBP";"p,p'-DBP ";"known degradation product ";"DDT 500PPM";TRUE;13;"Authentic MS RT";"";"75 [M-C7H5Cl2O]+; 111 [M-C7H4ClO]+; 139 [M-C6H4Cl]+; 250 M+ ";"C13H8Cl2O";1285.61;1.162;FALSE;"GCxGC-TOF, EI, 70 eV"
721;14;"DDMU";"DDMU 1";"known degradation product ";"DDT 500PPM";FALSE;14;"Authentic MS";"All have the same mass spectrum, but exceed the number of possible isomers.";"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";1268.12;1.168;FALSE;"GCxGC-TOF, EI, 70 eV"
