"mz";"intensity";"filename"
50;894;"1"
51;479;"1"
52;46;"1"
53;16;"1"
54;1;"1"
56;4;"1"
58;2;"1"
59;3;"1"
60;40;"1"
61;103;"1"
62;61;"1"
63;42;"1"
65;2;"1"
72;36;"1"
73;150;"1"
74;452;"1"
75;598;"1"
76;345;"1"
77;362;"1"
78;21;"1"
81;1;"1"
83;1;"1"
84;55;"1"
85;80;"1"
86;30;"1"
87;23;"1"
88;1;"1"
89;3;"1"
97;4;"1"
101;1;"1"
104;51;"1"
105;4;"1"
106;1;"1"
108;3;"1"
109;3;"1"
110;9;"1"
111;547;"1"
112;113;"1"
113;169;"1"
114;30;"1"
115;1;"1"
124;1;"1"
139;998;"1"
140;717;"1"
141;362;"1"
142;206;"1"
143;13;"1"
174;1;"1"
217;1;"1"
219;1;"1"
234;1;"1"
246;1;"1"
252;1;"1"
260;1;"1"
281;1;"1"
286;1;"1"
292;1;"1"
294;1;"1"
316;1;"1"
318;1;"1"
319;1;"1"
327;1;"1"
331;1;"1"
335;1;"1"
344;1;"1"
346;1;"1"
384;2;"1"
417;1;"1"
422;1;"1"
428;2;"1"
440;1;"1"
449;1;"1"
489;1;"1"
559;1;"1"
565;1;"1"
577;1;"1"
582;1;"1"
662;1;"1"
737;1;"1"
742;1;"1"
744;1;"1"
752;1;"1"
753;1;"1"
754;1;"1"
756;1;"1"
758;1;"1"
801;1;"1"
823;2;"1"
828;1;"1"
836;1;"1"
849;1;"1"
860;2;"1"
891;1;"1"
895;1;"1"
902;1;"1"
903;1;"1"
909;1;"1"
914;1;"1"
917;1;"1"
926;1;"1"
933;1;"1"
944;1;"1"
945;1;"1"
949;1;"1"
959;1;"1"
969;1;"1"
981;1;"1"
985;1;"1"
993;1;"1"
50;90;"10"
51;23;"10"
52;6;"10"
53;2;"10"
56;3;"10"
59;7;"10"
60;73;"10"
61;13;"10"
62;28;"10"
63;23;"10"
65;7;"10"
66;3;"10"
67;3;"10"
70;2;"10"
72;4;"10"
73;11;"10"
74;8;"10"
75;9;"10"
76;91;"10"
77;16;"10"
78;31;"10"
82;342;"10"
83;998;"10"
84;231;"10"
85;630;"10"
86;40;"10"
87;95;"10"
94;2;"10"
95;41;"10"
96;3;"10"
97;29;"10"
99;14;"10"
100;2;"10"
101;3;"10"
104;4;"10"
106;2;"10"
107;3;"10"
110;56;"10"
111;561;"10"
112;185;"10"
113;360;"10"
114;89;"10"
115;59;"10"
116;12;"10"
117;184;"10"
118;8;"10"
119;179;"10"
120;12;"10"
121;43;"10"
122;2;"10"
123;4;"10"
130;13;"10"
132;11;"10"
134;5;"10"
136;11;"10"
138;5;"10"
139;2;"10"
146;4;"10"
147;653;"10"
148;16;"10"
149;634;"10"
150;18;"10"
151;183;"10"
152;5;"10"
153;15;"10"
158;1;"10"
160;2;"10"
162;1;"10"
165;5;"10"
167;6;"10"
170;7;"10"
171;7;"10"
175;3;"10"
176;1;"10"
179;1;"10"
182;1;"10"
187;2;"10"
192;2;"10"
194;1;"10"
205;2;"10"
206;3;"10"
207;5;"10"
209;3;"10"
210;2;"10"
211;2;"10"
218;2;"10"
219;2;"10"
225;2;"10"
227;1;"10"
240;1;"10"
242;1;"10"
243;2;"10"
256;2;"10"
259;2;"10"
261;2;"10"
263;1;"10"
273;2;"10"
284;1;"10"
293;3;"10"
295;4;"10"
310;2;"10"
316;1;"10"
322;1;"10"
324;2;"10"
325;2;"10"
330;1;"10"
340;2;"10"
344;2;"10"
350;1;"10"
353;3;"10"
360;1;"10"
392;2;"10"
403;2;"10"
409;1;"10"
420;2;"10"
451;2;"10"
474;2;"10"
475;1;"10"
481;2;"10"
501;2;"10"
502;1;"10"
511;2;"10"
517;2;"10"
