NAME: chlorodiphenyl-methanone
COMMENT: Newly Identified DDT-Related Compounds Accumulating in Southern California Bottlenose Dolphins, Mackintosh et al., 2015
Num Peaks: 104
50 566;
51 707;
52 43;
53 20;
58 6;
61 23;
62 41;
63 46;
74 248;
75 474;
76 207;
77 884;
78 45;
81 4;
83 3;
84 3;
85 50;
86 11;
87 12;
93 4;
94 44;
95 2;
98 14;
99 7;
100 2;
101 2;
104 16;
105 999;
106 58;
109 3;
111 486;
112 2;
113 139;
114 8;
116 3;
126 7;
139 750;
140 44;
141 176;
142 10;
151 5;
152 37;
153 9;
180 2;
181 107;
182 13;
188 9;
203 2;
215 5;
216 251;
217 15;
218 59;
219 9;
221 2;
222 3;
279 2;
307 3;
309 1;
316 2;
321 2;
324 2;
340 3;
376 2;
392 2;
425 2;
441 2;
450 2;
454 2;
456 3;
459 3;
460 3;
461 4;
464 2;
469 2;
472 2;
479 4;
489 3;
509 3;
531 1;
533 2;
536 2;
556 2;
564 2;
598 2;
621 6;
652 2;
688 2;
742 2;
751 1;
754 3;
765 3;
767 1;
769 2;
800 2;
802 3;
822 3;
838 3;
849 3;
869 3;
883 2;
889 3;
895 1;
937 2;
969 3;

NAME: DDMU
COMMENT: Newly Identified DDT-Related Compounds Accumulating in Southern California Bottlenose Dolphins, Mackintosh et al., 2015
Num Peaks: 178
50 268;
51 221;
52 40;
61 52;
62 147;
63 231;
65 33;
70 24;
72 24;
73 144;
74 394;
75 601;
76 92;
80 21;
84 18;
85 110;
86 126;
87 101;
88 456;
89 43;
92 30;
93 83;
95 61;
98 138;
99 92;
100 49;
101 135;
102 18;
104 21;
105 98;
106 95;
107 36;
109 58;
110 43;
111 80;
113 80;
114 36;
116 30;
122 21;
123 141;
124 43;
125 117;
126 67;
127 27;
135 36;
136 33;
137 36;
138 24;
139 533;
141 107;
142 27;
144 24;
149 70;
150 104;
151 120;
152 27;
167 21;
168 40;
173 18;
174 92;
175 80;
176 524;
177 228;
178 36;
179 18;
184 36;
189 36;
195 24;
198 30;
201 40;
206 18;
209 36;
211 86;
212 998;
213 181;
214 231;
215 27;
216 36;
219 49;
220 30;
224 27;
227 21;
228 33;
231 24;
232 24;
238 15;
239 27;
246 52;
247 135;
248 80;
249 114;
250 52;
256 24;
257 61;
258 27;
260 24;
263 18;
266 33;
267 27;
268 36;
275 234;
276 21;
277 129;
279 36;
280 49;
282 157;
283 43;
284 132;
285 24;
286 21;
287 24;
288 30;
289 163;
290 27;
291 114;
292 52;
294 30;
303 18;
308 15;
317 15;
322 15;
323 15;
338 27;
341 21;
349 15;
355 27;
365 21;
384 21;
418 18;
426 24;
429 15;
433 27;
436 15;
459 15;
461 24;
481 15;
483 15;
495 30;
502 30;
503 24;
506 21;
507 18;
509 21;
512 18;
513 18;
514 24;
524 15;
526 15;
531 18;
535 21;
545 21;
548 18;
557 33;
558 24;
559 21;
578 21;
586 18;
595 24;
596 27;
598 30;
599 27;
605 24;
609 15;
610 30;
611 21;
618 15;
635 24;
651 24;
656 18;
678 18;
698 30;
700 18;
716 18;
740 18;
762 24;
898 27;
931 24;
936 24;

NAME: DDT
COMMENT: Newly Identified DDT-Related Compounds Accumulating in Southern California Bottlenose Dolphins, Mackintosh et al., 2015
Num Peaks: 236
50 373;
51 199;
52 11;
55 14;
56 4;
60 22;
61 62;
62 142;
63 183;
64 10;
67 8;
68 11;
69 12;
70 3;
72 18;
73 116;
74 286;
75 471;
76 66;
77 31;
81 38;
82 199;
83 19;
84 49;
85 94;
86 93;
87 135;
88 139;
89 28;
90 2;
92 16;
93 25;
95 3;
97 26;
